,symbol,country,currency,estimateCurrency,exchange,finnhubIndustry,ipo,logo,marketCapitalization,name,phone,shareOutstanding,ticker,weburl,date,epsActual,epsEstimate,hour,quarter,revenueActual,revenueEstimate,year
0,AAL,US,USD,USD,NASDAQ NMS - GLOBAL MARKET,Airlines,2013-12-09,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AAL.png,7203.872216,American Airlines Group Inc,16822789000.0,656.09,AAL,https://americanairlines.gcs-web.com/,2024-10-17,,0.6649,bmo,3,,14356150100.0,2024
1,AAL,US,USD,USD,NASDAQ NMS - GLOBAL MARKET,Airlines,2013-12-09,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AAL.png,7203.872216,American Airlines Group Inc,16822789000.0,656.09,AAL,https://americanairlines.gcs-web.com/,2024-07-18,,1.1117,bmo,2,,14605513211.0,2024
2,AAPL,US,USD,USD,NASDAQ NMS - GLOBAL MARKET,Technology,1980-12-12,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AAPL.png,3506597.766596,Apple Inc,14089961010.0,15334.08,AAPL,https://www.apple.com/,2024-10-31,,1.567,amc,4,,94517803392.0,2024
3,AAPL,US,USD,USD,NASDAQ NMS - GLOBAL MARKET,Technology,1980-12-12,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AAPL.png,3506597.766596,Apple Inc,14089961010.0,15334.08,AAPL,https://www.apple.com/,2024-08-01,,1.3524,amc,3,,85445117817.0,2024
4,AAP,US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Retail,2001-11-29,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AAP.png,3452.727116,Advance Auto Parts Inc,15403624911.0,59.62,AAP,https://shop.advanceautoparts.com/,2024-11-13,,1.2981,amc,3,,2748538250.0,2024
5,AAP,US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Retail,2001-11-29,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AAP.png,3452.727116,Advance Auto Parts Inc,15403624911.0,59.62,AAP,https://shop.advanceautoparts.com/,2024-08-21,,1.0337,amc,2,,2706113139.0,2024
6,ABBV,US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Biotechnology,2013-01-02,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/ABBV.png,296754.088818,Abbvie Inc,18479327900.0,1765.87,ABBV,https://www.abbvie.com/,2024-10-25,,2.9603,amc,3,,14464705363.0,2024
7,ABBV,US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Biotechnology,2013-01-02,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/ABBV.png,296754.088818,Abbvie Inc,18479327900.0,1765.87,ABBV,https://www.abbvie.com/,2024-07-25,,3.1159,amc,2,,14303861941.0,2024
8,ABT,US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Health Care,1937-03-01,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/ABT.png,176816.377259,Abbott Laboratories,12246676100.0,1739.63,ABT,https://www.abbott.com/,2024-10-16,,1.218,amc,3,,10676937199.0,2024
9,ABT,US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Health Care,1937-03-01,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/ABT.png,176816.377259,Abbott Laboratories,12246676100.0,1739.63,ABT,https://www.abbott.com/,2024-07-18,,1.1163,amc,2,,10476152441.0,2024
10,ACN,IE,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Technology,2001-07-19,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/ACN.png,186700.150752,Accenture PLC,35316462000.0,670.42,ACN,https://www.accenture.com/ie-en/,2024-09-26,,2.8077,amc,4,,16505401921.0,2024
11,ADBE,US,USD,USD,NASDAQ NMS - GLOBAL MARKET,Technology,1986-08-20,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/ADBE.png,250973.273205,Adobe Inc,14085366000.0,448.0,ADBE,https://www.adobe.com/,2024-09-12,,4.6232,amc,3,,5477727052.0,2024
12,ADI,US,USD,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,1979-04-03,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/ADI.png,115127.27047800002,Analog Devices Inc,17813294700.0,496.22,ADI,https://www.analog.com/,2024-11-19,,1.6419,amc,4,,2404121382.0,2024
13,ADI,US,USD,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,1979-04-03,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/ADI.png,115127.27047800002,Analog Devices Inc,17813294700.0,496.22,ADI,https://www.analog.com/,2024-08-21,,1.5157,amc,3,,2296081560.0,2024
14,ADM,US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Food Products,1924-12-24,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/ADM.png,31213.857242,Archer-Daniels-Midland Co,13126348233.0,494.44,ADM,https://www.adm.com/,2024-10-22,,1.343,amc,3,,22519158465.0,2024
15,ADM,US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Food Products,1924-12-24,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/ADM.png,31213.857242,Archer-Daniels-Midland Co,13126348233.0,494.44,ADM,https://www.adm.com/,2024-07-23,,1.2549,amc,2,,23317168888.0,2024
16,ADP,US,USD,USD,NASDAQ NMS - GLOBAL MARKET,Professional Services,1961-09-01,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/ADP.png,96064.775816,Automatic Data Processing Inc,19739745000.0,409.29,ADP,https://www.adp.com/,2024-10-23,,2.2844,amc,1,,4832389349.0,2025
17,ADP,US,USD,USD,NASDAQ NMS - GLOBAL MARKET,Professional Services,1961-09-01,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/ADP.png,96064.775816,Automatic Data Processing Inc,19739745000.0,409.29,ADP,https://www.adp.com/,2024-07-31,,2.0787,amc,4,,4788361055.0,2024
18,ADSK,US,USD,USD,NASDAQ NMS - GLOBAL MARKET,Technology,1985-04-30,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/ADSK.png,52575.458621,Autodesk Inc,14155075000.0,215.45,ADSK,https://www.autodesk.com/,2024-11-19,,2.1584,amc,3,,1574689678.0,2025
19,ADSK,US,USD,USD,NASDAQ NMS - GLOBAL MARKET,Technology,1985-04-30,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/ADSK.png,52575.458621,Autodesk Inc,14155075000.0,215.45,ADSK,https://www.autodesk.com/,2024-08-21,,2.0405,amc,2,,1511923264.0,2025
20,AEE,US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Utilities,1952-12-15,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AEE.png,19029.598454,Ameren Corp,13146213222.0,266.67,AEE,https://www.ameren.com/,2024-11-06,,1.997,amc,3,,2186772886.0,2024
21,AEE,US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Utilities,1952-12-15,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AEE.png,19029.598454,Ameren Corp,13146213222.0,266.67,AEE,https://www.ameren.com/,2024-08-01,,0.968,amc,2,,1888298020.0,2024
